author,birth_death
Arthur Stanley Eddington,(1882–1944)
Arthur de Gobineau,(1816–1882)
Asa Gray,(1810–1888)
Asher Ginsberg,(1856–1927)
Assi Rahbani,(1923–1986)
Athanasius Kircher,(1602–1680)
Athanasius of Alexandria,(298–373)
August Cieszkowski,(1814–1894)
August Wilhelm Rehberg,(1757–1836)
August Wilhelm Schlegel,(1767–1845)
Auguste Comte,(1798–1857)
Augustine of Hippo,(354–430)
Augustus De Morgan,(1806–1871)
Austin Marsden Farrer,(1904–1968)
Averroes,(1126–1198)
Avicenna,(980–1037)
Avital Ronell,(born 1952)
Axel Anders Theodor Hagerstrom,(1868–1939)
Ayn Rand,(1905–1982)
B. F. Skinner,(1904–1990)
B. R. Ambedkar,(1891–1956)
Bahya ibn Paquda,(1040–1110)
Baltasar Gracián y Morales,(1601–1658)
Baron d'Holbach,(1723–1789)
Baron de Montesquieu,(1689–1755)
Barry Smith,(born 1952)
Barry Stroud,(1935–2019)
Bartholomew Keckermann,(1571–1609)
Bartolomé de Medina,(1527–1580)
Bartolus de Saxoferrato,(1313–1357)
Baruch Spinoza,(1632–1677)
Bas C. van Fraassen,(born 1941)
Basilides,(c. 117–138)
Benedetto Croce,(1866–1952)
Benjamin Constant,(1767–1830)
Benjamin Fondane,(1898–1944)
Benjamin Franklin,(1706–1790)
Benjamin Peirce,(1809–1880)
Benjamin Tucker,(1854–1939)
Benjamin Whichcote,(1609–1683)
Bernard Bolzano,(1781–1848)
Bernard Bosanquet,(1848–1923)
Bernard Delfgaauw,(1912–1993)
Bernard Lonergan,(1904–1984)
Bernard Silvestris,(1147–1178)
Bernard Williams,(1929–2003)
Bernard de Mandeville,(1670–1733)
Bernard le Bovier de Fontenelle,(1657–1757)
Bernard of Chartres,(died 1130)
Bernard of Clairvaux,(1090–1153)
Bernardino Telesio,(1509–1588)
Bernhard Riemann,(1826–1866)
Bertrand Russell,(1872–1970)
Bessarion,(1403–1472)
Bhartrhari,(5th century)
Blaise Pascal,(1623–1662)
Blasius of Parma,(1345–1416)
Boetius of Dacia,(c. 1240–c. 1280)
Bonaventure,(1221–1274)
Borden Parker Bowne,(1847–1910)
Boris Chicherin,(1828–1904)
Boris M. Hessen,(1893–1936)
Boris Petrovich Vysheslavtsev,(1877–1954)
Brad Hooker,(born 1957)
Brand Blanshard,(1892–1987)
Branislav Petronijević,(1875–1954)
Brian Barry,(1936–2009)
Bruno Bauer,(1809–1882)
Bruno Latour,(born 1947)
Bruno de Finetti,(1906–1985)
Buddhaghosa,(5th century)
C. D. Broad,(1887–1971)
C. Lloyd Morgan,(1852–1936)
C. S. Lewis,(1898–1963)
Caio Prado Júnior,(1907–1990)
Calcidius,(4th century)
Callicles,(late 5th century BC)
Carl Gustav Carus,(1789–1869)
Carl Gustav Hempel,(1905–1997)
Carl Heim,(1874–1958)
Carl Jung,(1875–1961)
Carl Linnaeus,(1707–1778)
Carl Schmitt,(1888–1985)
Carl Stumpf,(1848–1936)
Carl Vogt,(1817–1895)
Carlo Cattaneo,(1801–1869)
Carlo Rosselli,(1899–1937)
Carlos Cossio,(1903–1987)
Carneades,(c. 214 – 129 BC)
Catharine Macaulay,(1731–1791)
Catherine Clément,(born 1939)
