author,birth_death
Hypatia of Alexandria,(370–415)
Hélène Cixous,(born 1937)
I. A. Richards,(1893–1979)
Iamblichus,(ca. 245 AD-ca. 325)
Ian Hacking,(born 1936)
Ian Thomas Ramsey,(1915–1972)
Ibn Arabi,(1164–1240)
Ibn Bajjah,(died 1138)
Ibn Daud,(1110–1180)
Ibn Falaquera,(1223–1290)
Ibn Hazm,(994–1069)
Ibn Kammuna,(1215–1284)
Ibn Khaldun,(1332–1406)
Ibn Masarra,(883–931)
Ibn Miskawayh,(940–1030)
Ibn Sabin,(1217–1268)
Ibn Taymiya,(1263–1328)
Ibn Tufail,(1110–1185)
Ibn ar-Rawandi,(827–911)
Immanuel Kant,(1724–1804)
Immanuel the Roman,(c. 1270 – c. 1330)
Imre Lakatos,(1922–1974)
Iris Marion Young,(1949–2006)
Iris Murdoch,(1919–1999)
Isaac Albalag,(13th century)
Isaac Israeli,(c. 850–950)
Isaac La Peyrère,(1596–1676)
Isaac Newton,(1642–1727)
Isaac Orobio de Castro,(1617–1687)
Isaac ben Joseph ibn Pulgar,(14th century)
Isaac ben Judah Abravanel,(1437–1508)
Isaac ben Moses Arama,(1420–1494)
Isaac of Stella,(1105–1177)
Isaiah Berlin,(1909–1997)
Ismael Quiles [es],(1906–1993)
Isocrates,(436–338 BC)
István Mészáros,(1930–2017)
Ito Jinsai,(1627–1705)
Ivan Aleksandrovich Il'in,(1883–1954)
Ivan Ivanovich Lapshin,(1870–1952)
Ivan Kireevsky,(1806–1856)
Ivan Pavlov,(1849–1936)
Ivan Sviták,(1925–1994)
J. J. C. Smart,(1920–2012)
J. J. Valberg,(born 1936)
J. N. Findlay,(1903–1987)
J.B. Schneewind,(born 1930)
Jaakko Hintikka,(1929–2015)
Jacob Burckhardt,(1818–1897)
Jacob Moleschott,(1822–1893)
Jacobus Arminius,(1560–1609)
Jacopo Zabarella,(1533–1589)
Jacques Derrida,(1930–2004)
Jacques Lacan,(1901–1981)
Jacques Lefèvre d'Étaples,(c. 1455–c. 1536)
Jacques Maritain,(1882–1973)
Jacques Rancière,(born 1940)
Jacques Rohault,(1617–1672)
Jacques-André Naigeon,(1738–1810)
Jacques-Bénigne Bossuet,(1627–1704)
Jaegwon Kim,(1934–2019)
Jakob Böhme,(1575–1624)
Jakob Friedrich Fries,(1773–1843)
Jakob Sigismund Beck,(1761–1840)
Jalal al-Din al-Dawani,(1426–1502)
Jamal al-Din al-Afghani,(1839–1897)
James Beattie,(1735–1803)
"James Bryce, 1st Viscount Bryce",(1838–1922)
James Clerk Maxwell,(1831–1879)
"James Dalrymple, 1st Viscount Stair",(1619–1695)
James Dunbar,(1742–1798)
James Edwin Creighton,(1861–1924)
James Frederick Ferrier,(1808–1864)
James Griffin,(1933–2019)
James Harrington,(1611–1677)
James Hopwood Jeans,(1877–1946)
James Hutchison Stirling,(1820–1909)
James Hutton,(1726–1797)
James Martineau,(1805–1900)
James McCosh,(1811–1894)
James Mill,(1773–1836)
James Oswald,(1703–1793)
James Ward,(1843–1925)
James of Viterbo,(1255–1308)
Jan Hus,(1369–1415)
Jan Patočka,(1907–1977)
Jan Sniadecki,(1756–1830)
Jan van Ruysbroek,(1293–1381)
Jan Łukasiewicz,(1878–1956)
Jane Addams,(1860–1935)
Janet Radcliffe Richards,(born 1944)
Javad Tabatabai,(born 1945)
Jayarāśi Bhaṭṭa,(fl. c. 800)
Je Tsongkhapa,(1357–1419)
Jean Anthelme Brillat-Savarin,(1755–1826)
Jean Baudrillard,(1929–2007)
Jean Bodin,(1530–1596)
Jean Buridan,(1300–1358)
Jean Cavaillès,(1903–1944)
Jean Gerson,(1363–1429)
Jean Hyppolite,(1907–1968)
Jean Jacques Rousseau,(1712–1778)
Jean Le Clerc,(1657–1737)
Jean Meslier,(1664–1729)
Jean Piaget,(1896–1980)
Jean Reynaud,(1806–1863)
Jean Wahl,(1888–1974)
Jean de La Bruyère,(1645–1696)
Jean le Rond d'Alembert,(1717–1783)
Jean-Baptiste Dubos,(1670–1742)
Jean-Baptiste Lamarck,(1744–1829)
Jean-François Lyotard,(1924–1998)
Jean-Luc Nancy,(1940–2021)
Jean-Paul Sartre,(1905–1980)
Jennifer Hornsby,(born 1951)
Jeremy Bentham,(1748–1832)
Jerome Frank,(1889–1957)
Jerry Fodor,(1935–2017)
Jerzy Wróblewski,(1926–1990)
Jesus of Nazareth,(4 BC – AD 30 or 33)
Jiddu Krishnamurti,(1895–1986)
Jinul,(1158–1210)
Joachim Jungius,(1587–1657)
Joachim of Fiore,(1135–1201)
Joane Petrizi,(12th century)
Joel Feinberg,(1926–2004)
Johann Augustus Eberhard,(1739–1809)
Johann Bernhard Basedow,(1724–1790)
Johann Christoph Gottsched,(1700–1766)
Johann Franz Buddeus,(1667–1729)
Johann Friedrich Herbart,(1776–1841)
Johann Georg Hamann,(1730–1788)
Johann Gottfried Herder,(1744–1803)
Johann Gottlieb Fichte,(1762–1814)
Johann Heinrich Lambert,(1728–1777)
Johann Heinrich Pestalozzi,(1746–1827)
Johann Jakob Bachofen,(1815–1887)
Johann Karl Friedrich Rosenkranz,(1805–1879)
Johann Kaspar Lavater,(1741–1801)
Johann Sturm,(1635–1703)
Johann Wolfgang Goethe,(1749–1832)
Johannes Althusius,(1557–1638)
Johannes Capreolus,(1380–1444)
Johannes Clauberg,(1622–1665)
Johannes Kepler,(1571–1630)
Johannes Nikolaus Tetens,(1736–1807)
Johannes Scotus Eriugena,(c. 800–c. 880)
Johannes Sharpe,(ca. 1360 – after 1415)
Johannes Tauler,(c. 1300 – 1361)
John Anderson,(1893–1962)
John Arthur Passmore,(1914–2004)
John Austin,(1790–1859)
John B. Watson,(1878–1958)
John Balguy,(1686–1748)
John Calvin,(1509–1564)
John Colet,(1466–1519)
John Comenius,(1592–1670)
John Cook Wilson,(1849–1915)
John Dewey,(1859–1952)
John Earman,(born 1942)
John Ellis McTaggart,(1866–1925)
John Finnis,(born 1940)
John Fiske,(1842–1901)
John Gay,(1685–1732)
John Gray,(born 1948)
John Grote,(1813–1866)
John Henry Newman,(1801–1890)
John Herschel,(1792–1871)
John Hick,(1922–2012)
John Holloway,(sociologist)
John Langshaw Austin,(1911–1960)
John Leslie Mackie,(1917–1981)
John Locke,(1632–1704)
John Major,(1467–1550)
John Maynard Keynes,(1883–1946)
John McDowell,(born 1942)
John Millar,(1735–1801)
John Milton,(1608–1674)
John Norris,(1657–1711)
John Peckham,(died 1292)
John Philoponus,(early 6th century)
John R. Lucas,(1929–2020)
John Ralston Saul,(born 1947)
John Rawls,(1921–2002)
John Ray,(1627–1705)
John Searle,(born 1932)
John Selden,(1584–1654)
John Sergeant,(1623–1704)
John Stuart Mill,(1806–1873)
John Toland,(1670–1722)
John Venn,(1834–1923)
John Wisdom,(1904–1993)
John Witherspoon,(1723–1794)
John Wood Oman,(1860–1939)
John Wyclif,(c. 1330 – 1384)
John of Damascus,(c. 676–749)
John of Jandun,(1280–1328)
John of La Rochelle,(1190–1245)
John of Mirecourt,(c. 1345)
John of Paris,(1260–1306)
John of Salisbury,(c. 1115–1180)
John of St. Thomas,(1589–1644)
John of the Cross,(1542–1591)
John von Neumann,(1903–1957)
Jon Elster,(born 1940)
Jonathan Barnes,(born 1942)
Jonathan Bennett,(born 1930)
Jonathan Earle,(born 1970)
Jonathan Edwards,(1703–1758)
Jonathan Glover,(born 1941)
Jose Ferrater-Mora,(1912–1991)
Josef Popper-Lynkeus,(1838–1921)
Joseph Addison,(1672–1719)
Joseph Albo,(1380–1444)
Joseph Butler,(1692–1752)
Joseph D. Sneed,(1938–2020)
Joseph Dietzgen,(1828–1888)
Joseph Déjacque,(1821–1865)
Joseph Geyser,(1869–1948)
Joseph Glanvill,(1636–1680)
Joseph Kaspi,(1279–1340)
Joseph Maréchal,(1878–1944)
Joseph Petzoldt,(1862–1929)
Joseph Priestley,(1733–1804)
Joseph Raz,(1939–2022)
Joseph Rovan,(1918–2004)
Joseph Schumpeter,(1883–1950)
Joseph Smith,(1805–1844)
Joseph Soloveitchik,(1903–1993)
Joseph Vissarionovich Stalin,(1878–1953)
Joseph de Maistre,(1753–1821)
Joseph ibn Tzaddik,(c. 1149)
Josiah Gibbs,(1839–1903)
Josiah Royce,(1865–1916)
José Carlos Mariátegui,(1894–1930)
José Ingenieros,(1877–1925)
José Martí,(1853–1895)
José Ortega y Gasset,(1883–1955)
José Pablo Feinmann,(1943–2021)
Juan José Sebreli,(born 1930)
Juan Luís Vives,(1492–1540)
Juan de Mariana,(1536–1624)
Judah Messer Leon,(c. 1425 – c. 1495)
Judah ben Isaac Abravanel,(1460?–1535?)
Judah ben Moses of Rome,(1292–1330)
Judith Butler,(born 1956)
Judith Jarvis Thomson,(1929–2020)
Jules Lachelier,(1832–1918)
Jules Lequier,(1814–1862)
Julia Kristeva,(born 1941)
Julien Offray de La Mettrie,(1709–1751)
Julius Caesar Scaliger,(1484–1558)
Julián Marías,(1914–2005)
Juri Lotman,(1922–1993)
Justinian I,(483–565)
Justus Buchler,(1914–1991)
Justus Lipsius,(1547–1606)
Jørgen Jørgensen,(1894–1969)
Jürgen Habermas,(born 1929)
Kaibara Ekiken,(1630–1740)
Kang Youwei,(1858–1927)
Kao Tzu,(c. 420 – 350 BC)
Karel Kosík,(1926–2003)
Karen Swassjan,(born 1948)
Karl Barth,(1886–1968)
Karl Christian Friedrich Krause,(1781–1832)
Karl Friedrich Bahrdt,(1741–1792)
Karl Grün,(1817–1887)
Karl Jaspers,(1883–1969)
Karl Kautsky,(1854–1938)
Karl Korsch,(1886–1961)
Karl Kraus,(1874–1936)
Karl Leonhard Reinhold,(1757–1823)
Karl Mannheim,(1893–1947)
Karl Marx,(1818–1883)
Karl Nickerson Llywelyn,(1893–1962)
Karl Olivecrona,(1897–1980)
Karl Pearson,(1857–1936)
Karl Philipp Moritz,(1756–1793)
Karl Polanyi,(1886–1964)
Karl Popper,(1902–1994)
Karl Rahner,(1904–1984)
Karl Renner,(1870–1950)
Karl Wilhelm Ferdinand Solger,(1780–1890)
Karl-Otto Apel,(1922–2017)
Kazimierz Ajdukiewicz,(1890–1963)
Kazimierz Twardowski,(1866–1938)
Keith Lehrer,(born 1936)
Kenelm Digby,(1603–1665)
Kenneth Allen Taylor,(1954–2019)
Kenneth Arrow,(1921–2017)
Khedrup Gelek Pelzang,(1385–1438)
Ko Hung,(4th century)
Konstantin Kavelin,(1818–1885)
Konstantin Nikolaevich Leont'ev,(1831–1891)
Kuki Shūzō,(1888–1941)
Kumazawa Banzan,(1619–1691)
Kumārila Bhaṭṭa,(fl. roughly 700)
Kuno Fischer,(1824–1907)
Kuo Hsiang,(died c. 312)
Kurt Baier,(1917–2010)
Kurt Gödel,(1906–1978)
Kurt Koffka,(1886–1941)
Kurt Lewin,(1890–1947)
Kurt Singer,(1886–1962)
Kwame Nkrumah,(1909–1972)
Kwasi Wiredu,(1931–2022)
Kūkai,(774–835)
L. Jonathan Cohen,(1923–2006)
L. Susan Stebbing,(1885–1943)
Lady Anne Finch Conway,(1631–1679)
Lady Mary Shepherd,(1777–1847)
Lao Zi,(4th century BC)
Lauren Ross,(2009–present)
Laurens Perseus Hickok,(1798–1888)
Leo Löwenthal,(1900–1993)
Leo Mikhailovich Lopatin,(1855–1920)
Leo Strauss,(1899–1973)
Leo Tolstoy,(1828–1910)
Leon Brunschvicg,(1869–1944)
Leon Chwistek,(1884–1944)
Leon Petrazycki,(1867–1931)
Leon Trotsky,(1879–1940)
Leonard Nelson,(1882–1927)
Leonard Trelawny Hobhouse,(1864–1929)
Leonardo Boff,(born 1938)
Leonardo da Vinci,(1452–1519)
Leopold Kronecker,(1823–1891)
Leslie Stephen,(1832–1904)
Leszek Kołakowski,(1927–2009)
Leucippus,(5th century BC)
Lev Platonovich Karsavin,(1882–1952)
Lev Shestov,(1866–1938)
Lev Vygotsky,(1896–1934)
Lewis Carroll,(1832–1898)
Lewis H. Morgan,(1818–1881)
Li Ao,(722–841)
Liang Qichao,(1873–1929)
Liang Sou-ming,(1893–1988)
Liezi,(c. 440 – c. 360& BC)
Linji Yixuan,(c. 810 – 867)
Linus Pauling,(1901–1994)
Liu Shaoqi,(1898–1969)
Liu Tsung-chou,(1578–1645)
Lon L. Fuller,(1902–1978)
Lord Monboddo,(1714–1799)
Lorenz Oken,(1779–1851)
Lorenzo Valla,(1406–1457)
Lorraine Code,(born 1937)
Louis Althusser,(1918–1990)
Louis Couturat,(1868–1914)
Louis Gabriel Ambroise de Bonald,(1754–1840)
Louis Lavelle,(1883–1951)
Louis de La Forge,(1632–1666)
Lu Jiuyuan,(1139–1193)
Luce Irigaray,(born 1930)
Lucian,(c. 120 – c. 180)
Lucien Goldmann,(1913–1970)
Lucien Laberthonnière,(1860–1932)
Lucien Lévy-Bruhl,(1857–1939)
Lucio Colletti,(1924–2001)
Lucretius,(c. 99 – 55 BC)
Lucrezia Marinella,(1571–1653)
Ludovico Silva,(1937–1988)
Ludwig Binswanger,(1881–1966)
Ludwig Boltzmann,(1844–1906)
Ludwig Büchner,(1824–1899)
Ludwig Feuerbach,(1804–1872)
Ludwig Klages,(1872–1956)
Ludwig Landgrebe,(1902–1992)
Ludwig Wittgenstein,(1889–1951)
Ludwig von Bertalanffy,(1901–1972)
Ludwik Fleck,(1896–1961)
Luigi Ferri,(1826–1895)
Luis de Molina,(1535–1600)
Luitzen Egbertus Jan Brouwer,(1881–1966)
Lynne Rudder Baker,(1944–2017)
Lysander Spooner,(1808–1887)
Lyubov Axelrod,(1868–1946)
M.N.Roy,(1887–1954)
Madeleine de Scudéry,(1607–1701)
Madhava,(died 1386)
Mahatma Gandhi,(1869–1948)
Mahavira,(599–527 BC)
Maimonides,(1135–1204)
Maine de Biran,(1766–1824)
Malcolm Budd,(born 1941)
Mani,(3rd century)
Mao Zedong,(1893–1976)
Marcel Gauchet,(born 1946)
Marcel Proust,(1871–1922)
Marcion,(110–160)
Marcus Aurelius,(121–180)
Margaret Cavendish,(1623–1673)
Margaret Fell,(1614–1702)
Marie de Gournay,(1565–1645)
Marilyn Frye,(born 1941)
Marilyn McCord Adams,(1943–2017)
Marin Mersenne,(1588–1648)
Mario Bunge,(1919–2020)
Mario Calderoni,(1879–1914)
Mark Sainsbury,(born 1943)
Marko Marulić,(1450–1524)
Marquis de Condorcet,(1743–1794)
Marsilio Ficino,(1433–1499)
Marsilius of Inghen,(1330–1396)
Marsilius of Padua,(1270–1342)
Martha Nussbaum,(born 1947)
Martin Buber,(1878–1965)
Martin Heidegger,(1889–1976)
Martin Knutzen,(1713–1751)
Martin Luther,(1483–1546)
Martin Luther King Jr.,(1929–1968)
Mary Astell,(1666–1731)
Mary Midgley,(1919–2018)
Mary Warnock,(1924–2019)
Mary Wollstonecraft,(1759–1797)
Matthew Arnold,(1822–1888)
Matthew Tindal,(1657–1733)
Matthew of Aquasparta,(1238–1302)
Maurice Blanchot,(1907–2003)
Maurice Blondel,(1861–1949)
Maurice Merleau-Ponty,(1908–1961)
Max Black,(1909–1988)
Max Horkheimer,(1895–1973)
Max Planck,(1858–1947)
Max Scheler,(1874–1928)
Max Stirner,(1806–1856)
Max Weber,(1864–1920)
Meister Eckhart,(1260–1327/8)
Melissus of Samos,(late 5th century BC)
Menasseh Ben Israel,(1604–1657)
Mencius,(372–289 BC)
Menyhért Palágyi,(1859–1924)
Merab Mamardashvili,(1930–1990)
Mestrius Plutarch of Chaeronia,(c. 45 – c. 120)
Michael Dummett,(1925–2011)
Michael Faraday,(1791–1867)
Michael Frede,(1940–2007)
Michael Hardt,(born 1960)
Michael Löwy,(born 1938)
Michael Oakeshott,(1901–1990)
Michael Polanyi,(1891–1976)
Michael Ruse,(born 1940)
Michael Sandel,(born 1953)
Michael Smith,(born 1954)
Michael Tye,(born 1950)
Michael Walzer,(born 1935)
Michal Sedziwój,(1566–1636)
Michel Foucault,(1926–1984)
Michel Henry,(1922–2002)
Michel Onfray,(born 1959)
Michel Serres,(1930–2019)
Michel Villey,(1914–1988)
Michel de Certeau,(1925–1986)
Michel de Montaigne,(1533–1592)
Michelangelo Fardella,(1646–1718)
Michèle Le Dœuff,(born 1948)
Miguel Abensour,(1939–2017)
Miguel de Unamuno,(1864–1936)
Mihailo Marković,(1923–2010)
Mikhail Bakhtin,(1895–1975)
Mikhail Bakunin,(1814–1876)
Mikhail Lifshitz,(1905–1983)
Miki Kiyoshi,(1897–1945)
Mikyo Dorje,(1507–1554)
Milan Kangrga,(1923–2008)
Milan Vidmar,(1885–1962)
Minagawa Kien,(1734–1807)
Mir Damad,(died 1631)
Mircea Eliade,(1907–1986)
Miura Baien,(1723–1789)
Mohammed Arkoun,(1928–2010)
Monroe Beardsley,(1915–1985)
Mordecai Kaplan,(1881–1983)
Moritz Schlick,(1882–1936)
Morris Raphael Cohen,(1880–1947)
Moses Hess,(1812–1875)
Moses Mendelssohn,(1729–1786)
Moses ben Jacob Cordovero,(1522–1570)
Moses ibn Ezra,(1070–1138)
Motoori Norinaga,(1730–1801)
Mou Tsung-san,(1909–1995)
Mozi,(c. 470 – c. 390 BC)
Muammar Gaddafi,(1941–2011)
Muhammad Abduh,(1849–1905)
Muhammad Iqbal,(1877–1938)
Mulla Hadi Sabzevari,(1797–1873)
Mulla Sadra,(1571–1640)
Muro Kyuso,(1658–1734)
Musonius Rufus,(1st century)
Myles Frederic Burnyeat,(1939–2019)
Nachman Krochmal,(1785–1840)
Nae Ionescu,(1890–1940)
Nagarjuna,(ca. 200 CE)
Nahmanides,(1194–1270)
Nancy Cartwright,(born 1943)
Nasir al-Din al-Tusi,(1201–1274)
Nathan Salmon,(born 1951)
Nathaniel Culverwel,(1619–1651)
Ned Block,(born 1942)
Nelson Goodman,(1906–1998)
Nemesius of Emesa,(fl. c. 400)
Newton da Costa,(born 1929)
Niccolò Machiavelli,(1469–1527)
Nichiren,(1222–1282)
Nicholas Onufrievich Lossky,(1870–1965)
Nicholas Rescher,(born 1928)
Nicholas Wolterstorff,(born 1932)
Nicholas of Autrecourt,(c. 1300 – 1369)
Nicholas of Cusa,(1401–1464)
Nicola Abbagnano,(1901–1990)
Nicolai Hartmann,(1882–1950)
Nicolas Boileau-Despréaux,(1636–1711)
Nicolas Malebranche,(1638–1715)
Nicolaus Copernicus,(1473–1543)
Nicolaus Taurellus,(1547–1606)
Nicole Oresme,(1320–1382)
Nicoletto Vernia,(1442–1499)
Nicos Poulantzas,(1936–1979)
Niels Bohr,(1885–1962)
Nikolai Berdyaev,(1874–1948)
Nikolai Bukharin,(1888–1938)
Nikolai Chernyshevsky,(1828–1889)
Nikolai Fyodorovich Fyodorov,(1828–1906)
Nikolai Ivanovich Kareev,(1850–1931)
Nikolai Konstantinovich Mikhailovskii,(1842–1904)
Nishi Amane,(1829–1897)
Nishida Kitaro,(1870–1945)
Nishitani Keiji,(1900–1990)
Noah Porter,(1811–1892)
Noam Chomsky,(born 1928)
Norberto Bobbio,(1909–2004)
Norman Kemp Smith,(1872–1958)
Norman Malcolm,(1911–1990)
Norman Robert Campbell,(1880–1949)
Norwood Russell Hanson,(1922–1967)
Novalis,(1772–1801)
Nuel Belnap,(born 1930)
Numenius of Apamea,(2nd century)
Octave Hamelin,(1856–1907)
Odo Marquard,(1928–2015)
Oets Kolk Bouwsma,(1898–1978)
Ogyū Sorai,(1666–1728)
Olaf Stapledon,(1886–1950)
"Oliver Wendell Holmes, Jr.",(1841–1935)
Olympiodorus the Younger,(495–570)
Onora O'Neill,(born 1941)
Orestes Brownson,(1803–1876)
Origen of Alexandria,(c. 182–c. 251)
Oswald Külpe,(1862–1915)
Oswald Spengler,(1880–1936)
Ota Weinberger,(1919–2009)
Othmar Spann,(1878–1950)
Otto Liebmann,(1840–1912)
Otto Neurath,(1882–1945)
Otto Rühle,(1874–1943)
Otto Weininger,(1880–1903)
P. F. Strawson,(1919–2006)
Panaetius,(c. 185 – c. 110 BC)
Pandurang Shastri Athavale,(1920–2003)
Paracelsus,(1493–1541)
Parmenides,(5th century BC)
Pasquale Galluppi,(1770–1846)
Patañjali,(2nd century BC)
Patricia Churchland,(born 1943)
Patricia Kitcher,(born 1948)
Paul Carus,(1852–1919)
Paul Churchland,(born 1942)
Paul Deussen,(1845–1919)
Paul Edwards,(1923–2004)
Paul Feyerabend,(1924–1994)
Paul Gerhard Natorp,(1854–1924)
Paul Horwich,(born 1947)
Paul Lorenzen,(1915–1995)
Paul Ramsey,(1913–1988)
Paul Ree,(1849–1901)
Paul Ricœur,(1913–2005)
Paul Tillich,(1886–1965)
Paul Valéry,(1871–1945)
Paul Yorck von Wartenburg,(1835–1897)
Paul de Man,(1919–1983)
Paul of Venice,(1369–1429)
Paulo Freire,(1921–1997)
Pavel Aleksandrovich Florenskii,(1882–1937)
Pavel Yudin,(1899–1968)
Pedro da Fonseca,(1528–1599)
Pelagius,(c. 360 – c. 435)
Percy Williams Bridgman,(1882–1961)
Petar II Petrović-Njegoš,(1813–1851)
Peter Abelard,(1079–1142)
Peter Annet,(1693–1769)
Peter Aureol,(c. 1280–1322)
Peter Browne,(1666–1735)
Peter Damian,(c. 1007–1072)
Peter Geach,(1919–2013)
Peter Kropotkin,(1842–1921)
Peter Lavrovitch Lavrov,(1823–1900)
Peter Lombard,(c. 1100 – 1160)
Peter Olivi,(1248–1298)
Peter Singer,(born 1946)
Peter Sloterdijk,(born 1947)
Peter Thielst,(born 1951)
Peter Tudvad,(born 1966)
Peter Unger,(born 1942)
Peter Wessel Zapffe,(1899–1990)
Peter Winch,(1926–1997)
Peter of Auvergne,(13th century)
Peter of Spain,(13th century; usually identified with Pope John XXI)
Peter van Inwagen,(born 1942)
Petrarch,(1304–1374)
Petrus Ramus,(1515–1572)
Philip the Chancellor,(1160–1236)
Philipp Melanchthon,(1497–1560)
Philippa Foot,(1920–2010)
Philippe Lacoue-Labarthe,(1940–2007)
Philo Judaeus of Alexandria,(20 BC–40 AD)
Philo of Larissa,(1st century BC)
Philo of Larissa,(154 – 84 BC)
Philo of Megara,(300 BC c.)
Philo the Dialectician,(c. 300 BC)
Philodemus of Gadara,(1st century BC)
Philolaus of Croton,(c. 480 – c. 405 BC)
Piero Martinetti,(1872–1943)
Pierre Bayle,(1647–1706)
Pierre Bourdieu,(1930–2002)
Pierre Charron,(1541–1603)
Pierre Daniel Huet,(1630–1721)
Pierre Duhem,(1861–1916)
Pierre Gassendi,(1592–1655)
Pierre Jean George Cabanis,(1757–1808)
Pierre Laffitte,(1823–1903)
Pierre Laromiguière,(1756–1837)
Pierre Leroux,(1798–1871)
Pierre Louis Maupertuis,(1698–1759)
Pierre Nicole,(1625–1695)
Pierre Paul Royer-Collard,(1763–1845)
Pierre Teilhard de Chardin,(1881–1955)
Pierre d'Ailly,(1350–1420)
Pierre-Joseph Proudhon,(1809–1865)
Pierre-Simon Laplace,(1749–1827)
Pierre-Sylvain Regis,(1632–1707)
Pietro Pomponazzi,(1462–1525)
Pietro Ubaldi,(1886–1972)
Placide Tempels,(1906–1977)
Plato,(c. 427 – c. 347 BC)
Plotinus,(died 270)
Pope Gregory I,(540–604)
Porphyry,(c. 232 – c. 304)
Posidonius,(c. 135 – 51 BC)
Prabhat Rainjan Sarkar,(1921–1990)
Proclus,(412–487)
Prodicus,(c. 450 – 399 BC)
Profiat Duran,(c. 1349–c. 1414)
Protagoras,(c. 481 – 420 BC)
Pseudo-Dionysius the Areopagite,(5th century)
Pseudo-Grosseteste,(13th century)
Pseudo-Longinus,(1st century)
Ptolemy,(c. 85 – c. 165)
Pyotr Chaadaev,(1794–1856)
Pyrrho,(c. 360 – c. 270)
Pythagoras,(582 – 496 BC)
R. G. Collingwood,(1889–1943)
R. M. Hare,(1919–2002)
R.R. Rockingham Gill,(born 1944)
Rabindranath Tagore,(1861–1941)
Radovan Richta,(1924–1983)
Radulphus Brito,(c. 1270–c. 1320)
Rafael Gambra Ciudad,(1920–2004)
Raimo Tuomela,(1940–2020)
Raimundo de Farias Brito,(1862–1917)
Ralph Barton Perry,(1876–1957)
Ralph Cudworth,(1617–1688)
Ralph Waldo Emerson,(1803–1882)
Ram Gopal Varma,(born 1989)
Ramakrishna Paramhansa,(1836–1886)
Ramanuja,(1017–1137)
Ramon Llull,(1235–1315)
Raya Dunayevskaya,(1910–1987)
Raymond Smullyan,(1919–2017)
Raymond Williams,(1921–1988)
Raúl Scalabrini Ortiz,(1898–1959)
Reinhardt Grossmann,(1931–2010)
Reinhold Niebuhr,(1892–1971)
René Descartes,(1596–1650)
René Le Senne,(1882–1954)
Rgyal tshab dar ma rin chen,(1364–1432)
Richard Avenarius,(1843–1896)
Richard B. Brandt,(1910–1997)
Richard Bentley,(1662–1742)
Richard Brinkley,(fl. 1350–1373)
Richard Burthogge,(1638–1704)
Richard C. Jeffrey,(1926–2002)
Richard Cumberland,(1631?–1718)
Richard Dedekind,(1831–1916)
Richard FitzRalph,(c. 1300–1360)
Richard Fumerton,(born 1949)
Richard Hooker,(1554–1600)
Richard Hönigswald,(1875–1947)
Richard Kilvington,(1302–1361)
Richard Montague,(1930–1971)
Richard Overton,(died c. 1665)
Richard Posner,(born 1939)
Richard Price,(1723–1791)
Richard Rorty,(1931–2007)
Richard Rufus of Cornwall,(1231–1259)
Richard Schacht,(born 1941)
Richard Stanley Peters,(1919–2011)
Richard Swinburne,(born 1934)
Richard Sylvan,(1935–1996)
Richard Taylor,(1919–2003)
Richard Wollheim,(1923–2003)
Richard of Middleton,(c. 1249–1306)
Richard of St. Victor,(died 1173)
Richard-Bevan Braithwaite,(1900–1990)
Robert Adams,(born 1937)
Robert Alyngton,(died 1398)
Robert Bellarmine,(1542–1621)
Robert Boyle,(1627–1691)
Robert Desgabets,(1610–1678)
Robert Filmer,(1588–1653)
Robert Fludd,(1574–1637)
Robert Grosseteste,(1175–1253)
Robert Holcot,(1290–1349)
Robert J. Fogelin,(1932–2016)
Robert Joseph Pothier,(1699–1772)
Robert Kilwardby,(1215–1279)
Robert Nozick,(1938–2001)
Robert Stalnaker,(born 1940)
Roberto Ardigò,(1828–1920)
Roderick Chisholm,(1916–1999)
Rodolphus Agricola,(1443–1485)
Roger Bacon,(1214–1294)
Roger Marston,(1235–1303)
Roger Scruton,(1944–2020)
Roland Barthes,(1915–1980)
Roman Ingarden,(1893–1970)
Ronald Dworkin,(1931–2013)
Ronald Fisher,(1890–1962)
Ronald William Hepburn,(1927–2008)
Rosa Luxemburg,(1871–1919)
Roscelin of Compiègne,(c. 1050–c. 1120)
Roscoe Pound,(1870–1964)
Roy Wood Sellars,(1880–1973)
Ruan Ji,(210–263)
Rudi Supek,(1913–1993)
Rudjer Boscovich,(1711–1787)
Rudolf Bultmann,(1884–1976)
Rudolf Carnap,(1891–1970)
Rudolf Christoph Eucken,(1846–1926)
Rudolf Otto,(1869–1937)
Rudolf Steiner,(1861–1925)
Rudolf von Jhering,(1818–1892)
Rudolph Goclenius,(1547–1628)
Ruth Barcan Marcus,(1921–2012)
Ruth Millikan,(born 1933)
Réginald Garrigou-Lagrange,(1887–1964)
Régis Debray,(born 1940)
Saadia Gaon,(892–942)
Sakya Pandita,(1182–1251)
Salomon Maimon,(1753–1800)
Sam Harris,(born 1967)
Samuel Alexander,(1859–1938)
Samuel Bold,(1649–1737)
Samuel Butler,(1835–1902)
Samuel Clarke,(1675–1729)
Samuel Johnson,(1709–1784)
Samuel Johnson,(1696–1772)
Samuel Johnson,(1649–1703)
Samuel Pufendorf,(1632–1694)
Samuel Taylor Coleridge,(1772–1834)
Samuel ibn Tibbon,(c. 1165 – 1232)
Sandra Harding,(born 1935)
Sarvepalli Radhakrishnan,(1888–1975)
Saul Kripke,(born 1940)
Scott Soames,(born 1946)
Sebastian Franck,(1499–1542)
Seiichi Hatano,(1877–1950)
Semën Liudvigovich Frank,(1877–1950)
