author,birth,death
Marc-Antoine Girard de Saint-Amant,1594,1661
Marc-Édouard Nabe,1958,
Marcel Allain,1885,1969
Marcel Aymé,1902,1967
Marcel Dubé,1930,
Marcel Jouhandeau,1888,1979
Marcel Pagnol,1895,1974
Marcel Proust,1871,1922
Marcel Schwob,1867,1905
Marcel Trudel,1917,2011
Marceline Desbordes-Valmore,1786,1859
Marcelle Auclair,1899,
Marguerite Audoux,1863,1937
Marguerite Duras,1914,1996
Marguerite Yourcenar,1903,1987
Marguerite de Navarre,1492,1549
Mariama Ndoye,1953,
"Marie Catherine le Jumel de Barneville, comtesse d'Aulnoy",1651,1705
Marie Chaix,1942,
Marie Colot,1981,
Marie Darrieussecq,1969,
Marie Depussé,1935,2017
Marie José Thériault,1945,
Marie Laberge,1950,
Marie Lebey,xxe siècle,
Marie Rotkopf,1975,
Marie Rouanet,1936,
Marie Susini,1916,1993
Marie Vareille,1985,
Marie de France,xiie siècle,
Marie-Amélie Chéreau,1972,
Marie-Bernadette Dupuy,1952,
Marie-Claire Blais,1939,
Marie-Françoise Loquet,1750,
Marie-Hélène Verdier,,
Marie-Joseph Lory,1920,1993
Marie-Sophie Vermot,1960,
Marie-Thérèse Colimon Hall,1918,1997
Marien Defalvard,1992,
Marion Chemin,1977,
Marisol Drouin,1976,
Marivaux,1688,1763
Markus Hediger,1959,
Marquise de Sévigné,1626,1696
Marthe Gagnon-Thibaudeau,1929,1999
Martial d'Auvergne,1420,1508
Martial d'Auvergne,1430,1508
Martin Matje,1962,2004
Martin Winckler,1955,
Martine Dassault,1954,
Mason Ewing,1982,
Mathias Villiers de l'Isle-Adam,1846,1889
Mathieu Simonet,1972,
Maud Ventura,1993,
Maurice Blanchot,1907,2003
Maurice Champagne,1868,1951
Maurice Colin,1913,1999
Maurice Constantin-Weyer,1881,1964
Maurice David,1901,1945
Maurice Denuzière,1926,
Maurice Druon,1918,2009
Maurice Fourré,1876,1959
Maurice G. Dantec,1959,2016
Maurice Garçot,1883,1969
Maurice Genevoix,1890,1980
Maurice Joly,1829,1878
Maurice Leblanc,1864,1941
Maurice Loton,1919,2007
Maurice Maeterlinck,1862,1949
Maurice Métral,1929,2001
Maurice Sachs,1906,1945
Maurice Thuilière,1940,
Maurice-Élisabeth de Lavergne de Tressan,1749,1809
Max Deauville,1881,1966
Max Elskamp,1862,1931
Max Gallo,1932,2007
Max Genève,1945,
Max Jacob,1876,1944
Max Revel,xixe siècle,
Max-Firmin Leclerc,1923,
Maxence Fermine,1968,
Maylis Adhémar,1985,
Mazarine Pingeot,1974,
Mellin de Saint-Gelais,1491,1558
Mercedes Deambrosis,1955,
Michel Bibaud,1782,1857
Michel Butor,1926,
Michel Camus,1929,2003
Michel Canesi,1952,
Michel Cordeboeuf,1959,
Michel Doury,1931,2007
Michel Droit,1923,2000
Michel Déon,1919,
Michel Ferracci-Porri,1949,
Michel Honaker,1958,
Michel Houellebecq,1956,1958
Michel Jean,1960,
Michel Onfray,,
Michel Procope-Couteaux,1684,1753
Michel Tagne Foko,1985,
Michel Testut,1943,
Michel Tournier,1924,2016
Michel Tremblay,1942,
Michel Vastel,1940,2008
Michel X Côté,1948,
Michel de Montaigne,1533,1592
Michel-Georges Micberth,1945,
Michelle Fourez,1951,
Mikaël Ollivier,,
Milan Dargent,1960,
Milan Kundera,1929,
Mme Beccari,,
Mme de La Fayette,1634,1693
Mohamed Mbougar Sarr,1990,
Mohammed Dib,1920,2003
Molière,1622,1673
Mongo Beti,,
Monique Jouvancy,1949,
Montesquieu,1689,1755
Mouloud Feraoun,1913,1962
Mouloud Mammeri,1917,1989
Moussa Konaté,1951,
Muriel Cerf,1950,2012
Médéric Charot,1846,1916
Nadia Tuéni,1935,1983
Nan Aurousseau,1951,
Nancy Huston,1953,
Nathalie Gassel,1964,
Nathalie Sarraute,1900,1999
Nathalie Yot,3,
Nathaniel Thorne,1957,
Nicolas Ancion,1971,
Nicolas Boileau,1636,1711
Nicolas Lebel,1970,
Nicolas Rapin,1535,1608
Nicolas Vatimbella,1956,
Nicole Brossard,1943,
Nicole Oresme,,
Nicole de Buron,1929,
Noctuel,1923,
Normand Lester,1945,
Nostradamus,1503,1566
Noël Béda,1470,1537
Noëlle Renaude,1949,
Nérée Beauchemin,1850,1931
Octave Aubry,1881,1946
Octave Crémazie,1827,1879
Octavie Lagrange,1825,1899
Odette Casadesus,1925,1999
Odile Weulersse,1938,
Olivia Rosenthal,1965,
Olivier Cousin,1972,
Olivier Delorme,1958,
Olivier Hodasava,1966,
Olivier Maurault,1886,1968
Olivier Nicklaus,xxe siècle,
Olivier Rolin,1947,
Olivier de La Marche,1426,1502
Ousmane Sembène,1923,2007
Pamphile Le May,1837,1918
Pascal Jardin,1934,1980
Pascal Lainé,1942,
Pascal Quignard,1948,
Pascale Gautier,xxe siècle,
Patrice Lanoy,1958,
Patrice de La Tour du Pin,1911,1975
Patrick Besson,1956,
Patrick Cloux,1952,
Patrick Denieul,1971,
Patrick Grainville,1947,
Patrick Rambaud,1946,
Patrick Renou,1954,
Patrick Senécal,1967,
Paul Acker,1874,1916
Paul Adam,1862,1920
Paul Alexis,1847,1901
Paul Arène,1843,1896
Paul Bourget,1852,1935
Paul Cazin,1881,1963
Paul Claudel,1868,1955
Paul Cunisset-Carnot,1849,1919
Paul Deschanel,1855,1922
Paul Dirmeikis,1954,
Paul Emond,1944,
Paul Féval,1816,1887
Paul Guimard,1921,2004
Paul Guth,1910,1997
Paul Ivoire,1968,
Paul Léautaud,1872,1956
Paul Morand,1888,1976
Paul Morelle,1917,2007
Paul Neuhuys,1897,1984
Paul Nizan,1905,1940
Paul Nougé,,
Paul Scarron,1610,1660
Paul Tuffrau,1887,1973
Paul Valéry,1871,1945
Paul Verlaine,1844,1896
Paul Vibert,1851,1918
Paul Éluard,1895,1962
Paul-Jean Toulet,1867,1920
Pauline Gill,1942,
Pauline Réage,1907,1998
Philippe Ariès,1914,1982
Philippe Aubert de Gaspé,1786,1871
Philippe Aubert de Gaspé (fils),1814,1841
Philippe Besson,1967,
Philippe Delerm,1950,
Philippe Djian,1949,
Philippe Duplessis-Mornay,1549,1623
Philippe Fournier,1958,
Philippe Hériat,1898,1971
Philippe Leuckx,1955,
Philippe Marczewski,1974,
Philippe Morvan,1962,
Philippe Panneton,1895,1960
Philippe Pierre-Adolphe,1961,
Philippe Porée-Kurrer,1954,
Philippe Sollers,1936,
Philippe Ségur,1964,
Philippe de Commines,1445ou,1447
Philippe de Zara,1893,1984
Philippe Ébly,1920,
Pierre Abraham,1892,1974
Pierre Abraham de La Bretonnière,1701,1778
Pierre Abélard,1079,1142
Pierre Anctil,xviie siècle,xviiie siècle
Pierre Benoit,1886,1962
Pierre Bergounioux,1949,
Pierre Bordage,1955,
Pierre Bottero,1964,2009
Pierre Boulle,1912,
Pierre Choderlos de Laclos,1741,1803
Pierre Combescot,1940,
Pierre Corneille,1606,1684
Pierre Daninos,1913,2005
Pierre Desproges,1939,1988
Pierre Dhainaut,1935,
Pierre Dominique,1889,1973
Pierre Drieu la Rochelle,1893,1945
Pierre Dufresne,1927,1984
Pierre Dupuy,1582,1651
Pierre Emmanuel,1916,1984
Pierre Fritsch,1930,2005
Pierre Gamarra,1919,2009
Pierre Gringore,1475,1539
Pierre Henri Cami,1884,1958
Pierre Herbart,1903,1974
Pierre Jean Jouve,1887,1976
Pierre Latrobe,1894,1967
Pierre Lecomte du Noüy,1883,1947
Pierre Loti,1850,1923
Pierre Louÿs,1870,1925
Pierre Lévy,1956,
Pierre Mac Orlan,1882,1970
Pierre Margry,1818,1894
Pierre Michon,1945,
Pierre Moinot,1920,2007
Pierre Pachet,1937,
Pierre Perrin de Chassagne,1950,
Pierre Petitclair,1813,1860
Pierre Pithou,1539,1596
Pierre Rabhi,1938,
Pierre Samson,1958,
Pierre Schoendoerffer,1928,2012
Pierre Seghers,1906,1987
Pierre Simenon,1959,
Pierre Souvestre,1875,1914
Pierre Teilhard de Chardin,1881,1955
Pierre Trottier,1925,2010
Pierre Turgeon,1947,
Pierre Vabre,1972,
Pierre Véry,1900,1960
Pierre Zaccone,1817,1895
Pierre de Fermat,1665,
Pierre de L'Estoile,1546,1611
Pierre de Ronsard,1524,1585
Pierre-Antoine de La Place,1707,1793
Pierre-Augustin Caron de Beaumarchais,1732,1799
Pierre-Jean de Béranger,1780,1857
Pierre-Joseph Proudhon,1809,1865
Prosper Mérimée,1803,1870
Rachel Monnat,1979,
Ramy Zein,1965,
Ramzi T. Salamé,1953,
Raoul Motoret,1909,1978
Raoul de Navery,1831,1885
Raphaël Aubert,,
Raphaël Tardon,1911,1967
Raphaële Billetdoux,1951,
Raymond Abellio,1907,1986
Raymond Cousse,1942,1991
Raymond Escholier,1882,1971
Raymond Guérin,1905,1955
Raymond Lévesque,1928,
Raymond Milési,1947,
Raymond Penblanc,1945,
Raymond Plante,1946,2006
Raymond Radiguet,1903,1923
Raymond Roussel,1877,1933
Razika Adnani,,
Remy de Gourmont,1858,1915
Renaud Camus,1946,
René Barjavel,1911,1985
René Bazin,1853,1932
René Boylesve,1867,1926
René Béhaine,1880,1954
René Char,1907,1988
René Crevel,1900,1935
René Daumal,1908,1944
René David,1919,2013
René Descartes,1596,1650
René Fallet,1927,1983
René Frégni,1947,
René Guy Cadou,1920,1951
René Huyghe,1906,1997
René Laurentin,1917,
René Lévesque,1922,1987
René de Ceccatty,1952,
Restif de la Bretonne,1734,1806
Rex Desmarchais,1908,1974
Richard Bellon,1956,
Richard Desjardins,1948,
Rina Lasnier,1910,1997
Rober Racine,1956,
Robert Charbonneau,1911,1967
Robert Charroux,1909,1978
Robert Dun,1920,2002
Robert Lepage,1957,
Robert Merle,1908,2004
Robert Perrein,1900,1980
Robert Rumilly,1897,1983
Robert Sabatier,1923,
Robert de Boron,xiie siècle,xiiie siècle
Robert Élie,1915,1973
Robin Philpot,1948,
Rodolphe Dubé,1905,1985
Roger Foulon,1923,2008
Roger Frison-Roche,1906,1999
Roger Garaudy,1913,2012
Roger Lemelin,1919,1992
Roger Martin du Gard,1881,1958
Roger Nimier,1925,1962
Roger Rabiniaux,1914,1986
Roger Vailland,1907,1965
Roger de Bussy-Rabutin,1618,1693
Roland C. Wagner,1960,
Roland Dorgelès,1886,1973
Roland Dubillard,1923,2011
Roland Giguère,1929,2003
Roland Michel Tremblay,1972,
Roland Topor,1938,1997
Roland de Bodt,1957,
Romain Gary,Émile Ajar,1914
Romain Rolland,1866,1944
Romaine Cauque,1976,
Rosaire Dion-Lévesque,1900,1974
Rose Berryl,1982,
Rose de Laval,1934,2017
Rutebeuf,1230,1285
Régine Deforges,1935,
Réjean Ducharme,1941,
Rémi Huppert,1946,
Rémy Belleau,1528,1577
Sacha Sperling,1990,
Saint-Ange,,
Saint-Bray,1908,
Saint-John Perse,1887,1975
Saint-Pol-Roux,1861,1940
Saley Boubé Bali,1963,
Salim Jay,1951,
Sallebray,xviie siècle,
Salvatore Minni,1979,
Samuel Beckett,1906,1989
Samuel de Champlain,1567,1580
Savinien de Cyrano de Bergerac,1619,1655
Saïd Akl,1912,2014
Sereine Berlottier,1971,
Serge Brussolo,1951,
Serge Delaive,1965,
Serge Rezvani,1928,
Serge Venturini,1955,
Seyhmus Dagtekin,1964,
Shan Sa,1972,
Simon Dary,1900,1978
Simon Lambert,1982,
Simon Leys,1935,
Simone Dever,1905,1977
Simone Weil,1909,1943
Simone de Beauvoir,1908,1986
Solange Chaput-Rolland,1919,2001
Sophie Doin,1800,1846
Sophie Loubière,1966,
Souillon,1979,
Stefan Wul,1922,2003
Stendhal,1783,1842
Stéphane Batigne,1965,
Stéphane E. Roy,1968,
Stéphane Krebs,1942,
Stéphane Mallarmé,1842,1898
Stéphane Méliade,1964,
Stéphanie Janicot,1967,
Stéphanie Polack,1977,
Sully Prudhomme,1839,1907
Suzanne Citron,1922,2018
Suzanne Clausse,1915,
Suzanne Lacascade,1884,1966
Suzanne Lauriot Prévost,1899,1991
Suzy Solidor,1900,1983
Sylvain Lelièvre,1943,2002
Sylvain Trudel,1963,
Sylvestre Simon Samb,1969,
Sylvia Tabet,1964,
Sébastien Smirou,1972,
Sébastien-Roch Nicolas de Chamfort,1740,1794
Tahar Ben Jelloun,1944,
Tahar Djaout,1954,1993
Talleyrand,1754,1838
Tamara Magaram,1988,
Tanella Boni,1954,
Tanguy Viel,1973,
Taos Amrouche,1913,1976
Thibaut de Champagne,1201,1253
Thierry Froger,1973,
Thierry Meyssan,1957,
Thierry Poyet,1968,
Thomas Corneille,1625,1709
Thomas Flahaut,1991,
Thomas Paris,1970,
Thomas d'Angleterre,1150,1200
Théodore Agrippa d'Aubigné,1552,1630
Théodore Leclercq,1777,1851
Théodore de Banville,1823,1891
Théodore de Foudras,1800,1872
Théophile Cailleux,1816,1890
Théophile Gautier,1811,1872
Théophile de Viau,1590,1626
Thérèse de Lisieux,1873,1897
Tomislav Dretar,1945,
Tony Duvert,1945,2008
Tristan Bernard,1866,1947
Tristan Corbière,1845,1875
Tristane Banon,1979,
Ugo Monticone,1975,
Valery Larbaud,1881,1957
Valérie Boronad,1969,
Valérie Goma,1968,
Valéry Coquant,1975,
Valéry Giscard d'Estaing,1926,2020
Vercors,1902,1991
Victor Brodeau,1500,
Victor Cousin,1792,1867
Victor Duruy,1811,1894
Victor Hugo,1802,1885
Victor Kathémo,1969,
Victor Serge,1890,1947
Victor Trenga,xxe siècle,
Virgile Pitteloud,1981,
Virginia Pésémapeo Bordeleau,1951,
Virginie Ancelot,1792,1875
Virginie de Senancour,1791,1876
Voltaire,1694,1778
Vân Mai,1954,
Vénus Khoury-Ghata,1937,
Véronique Olmi,,
Wace,,
Wajdi Mouawad,1968,
William Reymond,xxe siècle,
Willy,1859,1931
Xavier Deutsch,1965,
Xavier Grall,1930,1981
Xavier Milan,1964,
Xavier de Langlais,1906,1975
Xavier de Montépin,1823,1902
Yak Rivais,1939,
Yambo Ouologuem,,
Yann Apperry,1972,
Yann Moix,1968,
Yann Queffélec,1949,
Yannick Guilbaud,,
Ying Chen,1961,
Youssef Rzouga,1957,
Yvan Lamonde,1944,
Yves Beauchemin,1941,
Yves Bonnefoy,1923,
Yves Gibeau,1916,1994
Yves Grevet,1961,
Yves Mabin Chennevière,1942,
Yves Manglou,1943,
Yves Nilly,1958,
Yves Préfontaine,1937,
Yves Thériault,1915,1983
Yves Trottier,1973,
Yves Velan,1925,2017
Zachary Richard,1950,
Zaghloul Morsy,1933,
Édouard Estaunié,1862,1942
Édouard Montpetit,1881,1954
Édouard Rod,1857,1910
Édouard Schuré,1841,1929
Élie Fréron,1718,1776
Élie Maucourant,1989,
Éliette Abécassis,1969,
Élise Fugler,1970,
Élémir Bourges,1852,1925
Émile Ajar,Romain Gary,1914
Émile Augier,1820,1889
Émile Bodin,1869,1923
Émile Cabanon,1846,1847
Émile Danoën,1920,1999
Émile Deschamps,1791,1871
Émile Deschanel,1819,1904
Émile Gaboriau,1832,1873
Émile Guillaumin,1873,1951
Émile Henriot,1889,1961
Émile Littré,1801,1881
Émile Michel Cioran,1911,1995
Émile Nelligan,1879,1941
Émile Souvestre,1806,1854
Émile Verhaeren,1855,1916
Émile Zola,1840,1902
Éric Ardouin,1959,
Éric Hossan,,
Éric Laurrent,1966,
Éric Neuhoff,1956,
Éric Théophile Tchoumkeu,xxie siècle,
Éric-Emmanuel Schmitt,1960,
Étienne Jodelle,1532,1573
Étienne Pivert de Senancour,1770,1846
Étienne de La Boétie,1530,1563
Évariste de Parny,1753,1814
Évelyne Heuffel,1947,
