author,birth,death
Béatrice Hammer,1963,
Béroul,xiiie siècle,
Camara Laye,1928,1980
Camille Laurens,1957,
Camille Roy,1870,1943
Cardeline,1872,
Carla Lucarelli,1968,
Carmen Bramly,1995,
Carène Ponte,1980,
Casimir Delavigne,1793,1843
Catherine Chauchat,1,
Catherine Laboubée,1955,
Catherine Rey,1956,
Catherine-Joseph-Ferdinand Girard de Propiac,1759,1823
Celia Levi,1981,
Charbel Tayah,1953,
Charif Majdalani,1960,
Charles Baudelaire,1821,1867
Charles Bernard,1875,1961
Charles Cros,1842,1888
Charles Du Bos,1882,1939
Charles Duits,1925,1991
Charles Exbrayat,1906,1989
Charles Ferdinand Ramuz,1878,1947
Charles François Lhomond,1727,1794
Charles François Philibert Masson,1761,1807
Charles Galpérine,1929,2019
Charles Gouraud,1823,
Charles Géniaux,1870,1931
Charles Juliet,1934,
Charles Louis Cadet de Gassicourt,1769,1821
Charles Madézo,1939,
Charles Maurras,1868,1952
Charles Nodier,1780,1844
Charles Pascarel,1936,
Charles Perrault,1628,1703
Charles Plisnier,1896,1952
Charles Péguy,1873,1914
Charles Sorel,1602,1674
Charles d'Orléans,,
Charles de Gaulle,1890,1970
Charles-Augustin Sainte-Beuve,1804,1869
Charles-Hubert Millevoye,1782,1816
Charlotte Aïssé,1693,1733
Chloé Delaume,1973,
Chow Ching Lie,1936,
Christian Gailly,1943,2013
Christian Garcin,1959,
Christian Signol,1947,
Christian Skimao,1956,
Christiane Dupuy,1949,
Christiane Rochefort,1917,1998
Christiane Saleh,,
Christine de Pisan,1364,1430
Christophe Honoré,1970,
Christophe Spielberger,1969,
Christophe de Ponfilly,1951,2006
Chrystine Brouillet,1958,
Chrétien Guillaume de Lamoignon de Malesherbes,1721,1794
Chrétien de Troyes,1135,1185
Cizia Zykë,1949,2011
Claire Bergeron,1946,
Claire Krähenbühl,1942,
Claire Legendre,1979,
Claire Martin,1914,
Claire-Marie Mazarelli de Saint-Chamond,1731,
Claude Anet,1868,1941
Claude Berger,1936,
Claude Esil,1885,1986
Claude Favre de Vaugelas,1585,1650
Claude Gauvreau,1925,1971
Claude Izner,1940,1951
Claude Jaunière,1901,1989
Claude Lévi-Strauss,1908,2009
Claude Meunier,1951,
Claude Ribbe,1954,
Claude Simon,1913,2005
Claude-Emmanuelle Yance,,
Claude-Henri Grignon,1894,1976
Claude-Henri Rocquet,1933,
Clémence Badère,1813,1893
Clémence Boulouque,1977,
Clément Marot,1496ou,1497
Clément Pansaers,1885,1922
Colette,1873,1954
Colette Brogniart,1950,
Colin Muset,1210,
Comte de Lautréamont,1846,1870
Condillac,1715,1780
Condorcet,1743,1794
Conon de Béthune,1150,1219
Conrad Detrez,1937,1985
Copi,1939,1987
Corinne Hoex,1946,
Corinne Roche,1957,
Coriola,1897,
Crébillon fils,1707,1777
Crébillon père,1674,1762
Cécil Guitart,1944,2010
Cécile Coulon,1990,
Cécile Oumhani,,
Cécilia Castelli,1983,
Cédric Bannel,1966,
Cédric Morgan,1943,
Célestin Koffi Yao,,
Célestin-Virgile Adiko,1935,1977
Célia Ibanez,1982,
D'Aigue d'Iffremont,xviie siècle,
Damase Potvin,1879,1964
Daniel Boulanger,1922,
Daniel Danis,1962,
Daniel Desbiens,1954,
Daniel Foucher,1929,
Daniel Hirtz,1804,1893
Daniel Maximin,1947,
Daniel Pennac,1944,
Dany Laferrière,1953,
Daryush Shayegan,1935,
Dave Wilson,1950,2012
David Rochefort,1980,
David di Nota,1968,
Delphine de Girardin,1804,1855
Denis Côté,1954,
Denis Diderot,1713,1784
Denis Lalanne,1926,
Denis Lejeune,1976,
Denis Lépée,xxie siècle,
Denis Monette,1936,
Denis Robert,1958,
Denise Bernhardt,1942,
Denise Bombardier,1941,
Denise Boucher,1935,
Denise Desautels,1945,
Denys Amiel,1884,1977
Didier Daeninckx,1949,
Didier Decoin,1945,
Didier van Cauwelaert,1960,
Doc Seven,1991,
Dominic Bellavance,1982,
Dominique Aguessy,1937,
Dominique Aubier,1922,
Dominique Aury,1907,1998
Dominique Demers,1956,
Dominique Dupart,1972,
Dominique Jamet,1936,
Dominique Trottier,1976,
Dominique de Villepin,1953,
"Donatien Alphonse François, marquis de Sade",1740,1814
Donatien Frémont,1881,1967
Dorothée Catoune,1981,
Doumbi Fakoly,1944,
Doëtte Angliviel,1898,1948
Désiré-Joseph d’Orbaix,,
Edgar Faure,1908,1988
Edgar La Selve,1849,1892
Edgar Quinet,1803,1875
Edmond About,1828,1885
Edmond Jabès,1912,1991
Edmond Rostand,1868,1918
Edmond de Goncourt,1822,1896
Elie Wiesel,1928,2016
Elmira Chackal,1927,
Eloïse Lièvre,1974,
Ely Boissin,1936,
Emmanuel Aegerter,1883,1946
Emmanuel Arène,1856,1908
Emmanuel Carrère,1957,
Emmanuelle Laborit,1972,
Enguerrand de Monstrelet,1400,1453
Enzo Cormann,1953,
Erckmann-Chatrian,,
Erik Orsenna,,
Ernest Boysse,1836,1891
Ernest Pépin,1950,
Ernest Renan,1823,1892
Etel Adnan,1925,2021
Eugène André Despois,1818,1876
Eugène Chavette,1827,1902
Eugène Fromentin,1820,1876
Eugène Guillevic,1907,1997
Eugène Ionesco,1909,1994
Eugène Labiche,1815,1888
Eugène Le Roy,1836,1907
Eugène Sue,1804,1857
Eustache Deschamps,1340,1410
Eustache Marcadé,1440,
Eva Kavian,1964,
Fadhma Aït Mansour Amrouche,1882,1967
Fady Stephan,1946,
Falaba Issa Traoré,1930,2003
Fanny Chiarello,1974,
Fanny Reybaud,1802,1870
Fatima Gallaire,1944,2010
Fatma Bouvet de la Maisonneuve,,
Fatou Diome,1968,
Faucher de Saint-Maurice,1844,1897
Faustine Noguès,1993,
Ferdinand Alquié,1906,1985
Fernand Ouellette,,
Fernande Schulmann,1924,
Fernando Arrabal,1932,
Ferréol Gassackys,1962,
Fleury Mesplet,1734,1794
Florence Emptaz,,
Florent Chrestien,1540,1596
France Bastia,1936,
Francine Ouellette,,
Francine de Selve,1920,2002
Francis Carco,1886,1958
Francis Jammes,1868,1938
Francis Ponge,1899,1988
Frank Andriat,1958,
François Andrieux,1759,1833
François Blanchet,1707,1784
François Bluche,1925,
François Briand,xve,xvie siècles
François Bréda,1956,
François Cavanna,1923,
François Coppée,1842,1908
François Emmanuel,1952,
François Furet,1927,1997
François Hotman,1524,1590
François Jobin,1946,
François Lelord,1953,
François Lévesque,1978,
François Mauriac,1885,1970
François Métais-Panterne,1968,1986
François Quesnay,1694,1774
François Rabelais,1483,1553
François Scalion de Virbluneau sieur d'Ofayel,xvie siècle,
François Vallejo,1960,
François Villon,1431,1463
François Weyergans,1941,2019
François de La Rochefoucauld,1613,1680
François de Louvencourt seigneur de Vauchelles,1569,1638
François de Malherbe,1555,1628
François de Tessan,1883,1944
François-Jean Willemain d'Abancourt,1745,1803
François-Juste-Marie Raynouard,1761,1836
François-Olivier Rousseau,1947,
François-Paul Alibert,1873,1953
François-René de Chateaubriand,1768,1848
François-Xavier Garneau,1809,1866
Françoise Chandernagor,1945,
Françoise Dolto,1908,1988
Françoise Dorin,1928,
Françoise Nimal,1967,
Françoise Rey,1951,
Françoise Sagan,1935,2004
Françoise Xenakis,1930,2018
Fred Vargas,1957,
Frédéric Bastiat,1801,1850
Frédéric Dard,1921,2000
Frédéric Kiesel,1923,2007
Frédéric Lenormand,1964,
Frédéric Livyns,1970,
Frédérick Tristan,1931,
Félicité de La Mennais,1782,1854
Félix Arvers,1806,1850
Félix Leclerc,1914,1988
Félix-Antoine Savard,1896,1982
Fénelon,1651,1715
Gabriel Audisio,1900,1978
Gabriel Chevallier,1895,1969
Gabriel-Albert Aurier,1865,1892
"Gabriel-Honoré Riquetti, comte de Mirabeau",1749,1791
Gabrielle Roy,1909,1983
Gabrielle Wittkop,1920,2002
Gaston Bachelard,1884,1962
Gaston Compère,1924,2008
Gaston Leroux,1868,1927
